Travel_From/To,Belgium,Bulgaria,Denmark,Germany,Germany_North_Sea,Germany_Baltic_Sea,Germany_Rhine,Germany_unspecified_maritime_coastal_area,Estonia,Ireland,Greece,Spain,Spain_North_Atlantic,Spain_Mediterranean_and_South_Atlantic,Spain_Ceuta,Spain_unspecified_maritime_coastal_area,France,France_Atlantic_North_Sea,France_Mediterranean,France_unspecified_maritime_coastal_area,Croatia,Italy,Cyprus,Latvia,Lithuania,Malta,Netherlands,Poland,Portugal,Romania,Finland,Sweden,Sweden_Baltic_Sea,Sweden_North_Sea,Sweden_unspecified_maritime_coastal_area,United_Kingdom,United_Kingdom_Great_Britain_and_Northern_Ireland,United_Kingdom_Guernsey_and_Jersey_(Channel_Islands),United_Kingdom_unspecified_maritime_coastal_area,Iceland,Norway,Montenegro,Albania,Turkey,Turkey_Black_Sea,Turkey_Mediterranean,Turkey_unspecified_maritime_coastal_area,Bosnia_and_Herzegovina,Faeroe_Islands_(DK),Gibraltar_(UK),Monaco,Russia,Russia_Black_Sea,Russia_Baltic_Sea_(unspecified),Russia_Asia,Russia_Barents_and_White_Sea,Russia_Baltic_Sea_(Gulf_of_Finland_only),Russia_Baltic_Sea_(excluding_Gulf_of_Finland),Russia_European_inland_waterways_including_Caspian_Sea,Russia_unspecified_maritime_coastal_area,Ukraine,Algeria,Angola,Benin,Cameroon,Congo,Côte_d'Ivoire,Democratic_Republic_of_the_Congo,Djibouti,Egypt,Equatorial_Guinea,Gabon,Gambia,Ghana,Guinea,Kenya,Liberia,Libya,Madagascar,Mauritania,Morocco,Morocco_Mediterranean,Morocco_West_Africa,Morocco_unspecified_maritime_coastal_area,Mozambique,Namibia,Nigeria,Senegal,Sierra_Leone,South_Africa,Sudan,Tanzania,Togo,Tunisia,Antigua_and_Barbuda,Argentina,Aruba_(NL),Bahamas,Bermuda_(UK),Brazil,British_Virgin_Islands_(UK),Canada,Canada_Atlantic,Canada_Great_Lakes_Upper_St_Lawrence,Canada_West_Coast,Canada_unspecified_maritime_coastal_area,Chile,Colombia,Colombia_North_Coast,Colombia_West_Coast,Colombia_unspecified_maritime_coastal_area,Costa_Rica,Cuba,Dominican_Republic,Ecuador,El_Salvador,Former_Netherlands_Antilles,Greenland_(DK),Guatemala,Guyana,Honduras,Jamaica,Mexico,Mexico_Atlantic,Mexico_unspecified_maritime_coastal_area,Montserrat_(UK),Nicaragua,Panama,Peru,Saint_Kitts_and_Nevis,Saint_Vincent_and_the_Grenadines,Suriname,Trinidad_and_Tobago,United_States,United_States_North_Atlantic,United_States_South_Atlantic,United_States_Gulf,United_States_South_Pacific,United_States_North_Pacific,United_States_Great_Lakes,United_States_Puerto_Rico,Uruguay,US_Virgin_Islands_(US),Venezuela,Azerbaijan,Bahrain,Bangladesh,China_(except_Hong_Kong),Egypt_Mediterranean,Egypt_Red_Sea,Georgia,Hong_Kong,India,Indonesia,Iran,Iraq,Israel,Israel_Mediterranean,Japan,Jordan,Kuwait,Lebanon,Malaysia,Maldives,North_Korea,Oman,Pakistan,Philippines,Qatar,Saudi_Arabia,Saudi_Arabia_Red_Sea,Saudi_Arabia_Gulf,Saudi_Arabia_unspecified_maritime_coastal_area,Singapore,South_Korea,Sri_Lanka,Syria,Taiwan,Thailand,Turkmenistan,United_Arab_Emirates,Vietnam,Yemen,Australia,Cook_Islands_(NZ),Kiribati,Marshall_Islands,New_Caledonia_(FR),New_Zealand,Northern_Mariana_Islands_(US),Papua_New_Guinea,Wallis_and_Futuna_(FR),South_Georgia_and_the_South_Sandwich_Islands_(UK),Total_unspecified_and_unknown_locations,Offshore_installations_not_elsewhere_specified,Aggregates_extraction_areas_not_elsewhere_specified_and_other_activities_not_elsewhere_specified,Unknown
Denmark_Average,697,3854,80,187,209,159,,187,637,1013,3386,1868,1315,2420,,1868,1693,791,2595,1693,3517,3553,3793,575,422,2899,601,355,1474,3901,655,350,527,173,350,796,796,,796,1252,375,3295,3185,3616,3685,3546,3616,3295,754,1909,2674,3435,4161,,11839,2011,798,398,1405,,4047,2317,5521,4656,5094,5335,4274,5468,5195,3703,5025,5183,3211,4517,3559,6807,3858,3238,7402,2768,1961,1992,1930,,7782,6089,4715,3126,3614,6707,4599,6876,4603,2699,4158,6885,4657,4273,3496,5787,,5331,3023,3774,9197,,7791,5186,4842,5530,,5210,4643,4407,5655,5617,,2295,6065,4598,5114,4639,6293,5400,7186,,5857,5137,6628,4187,4359,4583,4499,5509,3668,4367,5112,8020,9181,3997,4218,6788,4221,4675,,,8557,11069,3703,3905,,10292,6864,9092,,,,,,,,3909,9473,,,,,,6887,,4541,4541,4541,8832,11289,,,,9663,,6709,,4951,12114,,,,,,,,,,1387,1387,1387,1387
Aabenraa,767,3924,80,145,152,138,,145,646,1083,3456,1937.5,1385,2490,,1938,1763,861,2665,1763,3587,3623,3863,588,426,2969,671,377,1544,3971,666,385,541,228,385,866,866,,866,1322,445,3365,3255,3685.5,3755,3616,3686,3365,824,1979,2744,3479,4231,,11909,2081,811,397,1446,,4117,2387,5591,4726,5164,5405,4344,5538,5265,3773,5095,5253,3281,4587,3629,6877,3928,3308,7472,2838,2031,2062,2000,,7852,6159,4785,3196,3684,6777,4669,6946,4673,2769,4228,6955,4727,4343,3566,5857,,5401,3093,3844,9267,,7861,5256,4912,5600,,5280,4713,4477,5725,5687,,2365,6135,4668,5184,4709,,5470,7256,,5927,5207,6698,4257,4429,4653,4569,5579,3738,4437,5182,8090,9251,4067,4288,6858,4291,4745,,,8627,11139,3773,3975,,10362,6934,9162,,,,,,,,3979,9543,,,,,,6957,,4611,4611,4611,8902,11359,,,,9733,,6779,,5021,12184,,,,,,,,,,1457,1457,1457,1457
Aalborg,647,3804,80,281,306,255,,281,677,963,3336,1817.5,1265,2370,,1818,1643,741,2545,1643,3467,3503,3743,617,465,2849,551,414,1424,3851,698,341,569,112,341,746,746,,746,1202,325,3245,3135,3565.5,3635,3496,3566,3245,704,1859,2624,3425,4111,,11789,1961,839,449,1400,,3997,2267,5471,4606,5044,5285,4224,5418,5145,3653,4975,5133,3161,4467,3509,6757,3808,3188,7352,2718,1911,1942,1880,,7732,6039,4665,3076,3564,6657,4549,6826,4553,2649,4108,6835,4607,4223,3446,5737,,5281,2973,3724,9147,,7741,5136,4792,5480,,5160,4593,4357,5605,5567,,2245,6015,4548,5064,4589,-120,5350,7136,,5807,5087,6578,4137,4309,4533,4449,5459,3618,4317,5062,7970,9131,3947,4168,6738,4171,4625,,,8507,11019,3653,3855,,10242,6814,9042,,,,,,,,3859,9423,,,,,,6837,,4491,4491,4491,8782,11239,,,,9613,,6659,,4901,12064,,,,,,,,,,1337,1337,1337,1337
Aalborg_Portland_(Cementfabrikken_Rordal),647,3804,80,281,306,255,,281,677,963,3336,1817.5,1265,2370,,1818,1643,741,2545,1643,3467,3503,3743,617,465,2849,551,414,1424,3851,698,341,569,112,341,746,746,,746,1202,325,3245,3135,3565.5,3635,3496,3566,3245,704,1859,2624,3425,4111,,11789,1961,839,449,1400,,3997,2267,5471,4606,5044,5285,4224,5418,5145,3653,4975,5133,3161,4467,3509,6757,3808,3188,7352,2718,1911,1942,1880,,7732,6039,4665,3076,3564,6657,4549,6826,4553,2649,4108,6835,4607,4223,3446,5737,,5281,2973,3724,9147,,7741,5136,4792,5480,,5160,4593,4357,5605,5567,,2245,6015,4548,5064,4589,-120,5350,7136,,5807,5087,6578,4137,4309,4533,4449,5459,3618,4317,5062,7970,9131,3947,4168,6738,4171,4625,,,8507,11019,3653,3855,,10242,6814,9042,,,,,,,,3859,9423,,,,,,6837,,4491,4491,4491,8782,11239,,,,9613,,6659,,4901,12064,,,,,,,,,,1337,1337,1337,2136.5
Århus,680,3837,80,197,223,171,,197,640,996,3369,1850.5,1298,2403,,1851,1676,774,2578,1676,3500,3536,3776,586,429,2882,584,379,1457,3884,663,344,536,151,344,779,779,,779,1235,358,3278,3168,3598.5,3668,3529,3599,3278,737,1892,2657,3429,4144,,11822,1994,805,410,1400,,4030,2300,5504,4639,5077,5318,4257,5451,5178,3686,5008,5166,3194,4500,3542,6790,3841,3221,7385,2751,1944,1975,1913,,7765,6072,4698,3109,3597,6690,4582,6859,4586,2682,4141,6868,4640,4256,3479,5770,,5314,3006,3757,9180,,7774,5169,4825,5513,,5193,4626,4390,5638,5600,,2278,6048,4581,5097,4622,-87,5383,7169,,5840,5120,6611,4170,4342,4566,4482,5492,3651,4350,5095,8003,9164,3980,4201,6771,4204,4658,,,8540,11052,3686,3888,,10275,6847,9075,,,,,,,,3892,9456,,,,,,6870,,4524,4524,4524,8815,11272,,,,9646,,6692,,4934,12097,,,,,,,,,,1370,1370,1370,1370
Asnæs_Inter_Terminal,694,3851,80,160.5,189,132,,160.5,643,1010,3383,1864.5,1312,2417,,1243,1690,788,2592,1690,3514,3550,3790,582,429,2896,598,382,1471,3898,663,345,537,153,345,793,793,,793,1249,372,3292,3182,3612.5,3682,3543,3613,3292,751,1906,2671,2578,4158,,11836,2008,803,411,1406,,4044,2314,5518,4653,5091,5332,4271,5465,5192,3700,5022,5180,3208,4514,3556,6804,3855,3235,7399,2765,1958,1989,1927,,7779,6086,4712,3123,3611,6704,4596,6873,4600,2696,4155,6882,4654,4270,3493,5784,,5328,3020,3771,9194,,7788,5183,4839,5527,,5207,4640,4404,5652,5614,,2292,6062,4595,5111,4636,-73,5397,7183,,5854,5134,6625,4184,4356,4580,4496,5506,3665,4364,5109,8017,9178,3994,4215,6785,4218,4672,,,8554,11066,3700,3902,,10289,6861,9089,,,,,,,,3906,9470,,,,,,6884,,4538,4538,4538,8829,11286,,,,9660,,6706,,4948,12111,,,,,,,,,,1384,1384,1384,1384
Asnæsværkets_Havn,694,3851,80,161,189,132,,161,643,1010,3383,1864.5,1312,2417,,1865,1690,788,2592,1690,3514,3550,3790,582,429,2896,598,382,1471,3898,663,345,537,153,345,793,793,,793,1249,372,3292,3182,3612.5,3682,3543,3613,3292,751,1906,2671,3437,4158,,11836,2008,803,411,1406,,4044,2314,5518,4653,5091,5332,4271,5465,5192,3700,5022,5180,3208,4514,3556,6804,3855,3235,7399,2765,1958,1989,1927,,7779,6086,4712,3123,3611,6704,4596,6873,4600,2696,4155,6882,4654,4270,3493,5784,,5328,3020,3771,9194,,7788,5183,4839,5527,,5207,4640,4404,5652,5614,,2292,6062,4595,5111,4636,-73,5397,7183,,5854,5134,6625,4184,4356,4580,4496,5506,3665,4364,5109,8017,9178,3994,4215,6785,4218,4672,,,8554,11066,3700,3902,,10289,6861,9089,,,,,,,,3906,9470,,,,,,6884,,4538,4538,4538,8829,11286,,,,9660,,6706,,4948,12111,,,,,,,,,,1384,1384,1384,1384
Avedøreværkets_Havn,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140.5
Ebeltoft,684,3841,80,200,225,175,,200,644,1000,3373,1854.5,1302,2407,,1855,1680,778,2582,1680,3504,3540,3780,590,433,2886,588,383,1461,3888,667,348,540,155,348,783,783,,783,1239,362,3282,3172,3602.5,3672,3533,3603,3282,741,1896,2661,3433,4148,,11826,1998,809,414,1404,,4034,2304,5508,4643,5081,5322,4261,5455,5182,3690,5012,5170,3198,4504,3546,6794,3845,3225,7389,2755,1948,1979,1917,,7769,6076,4702,3113,3601,6694,4586,6863,4590,2686,4145,6872,4644,4260,3483,5774,,5318,3010,3761,9184,,7778,5173,4829,5517,,5197,4630,4394,5642,5604,,2282,6052,4585,5101,4626,-83,5387,7173,,5844,5124,6615,4174,4346,4570,4486,5496,3655,4354,5099,8007,9168,3984,4205,6775,4208,4662,,,8544,11056,3690,3892,,10279,6851,9079,,,,,,,,3896,9460,,,,,,6874,,4528,4528,4528,8819,11276,,,,9650,,6696,,4938,12101,,,,,,,,,,1374,1374,1374,1374
Ensted_Inter_Terminal,767,3924,80,152,152,,,152,646,1083,3456,1937.5,1385,2490,,1938,1763,861,2665,1763,3587,3623,3863,588,426,2969,671,377,1544,3971,666,385,541,228,385,866,866,,866,1322,445,3365,3255,3685.5,3755,3616,3686,3365,824,1979,2744,3479,4231,,11909,2081,811,397,1446,,4117,2387,5591,4726,5164,5405,4344,5538,5265,3773,5095,5253,3281,4587,3629,6877,3928,3308,7472,2838,2031,2062,2000,,7852,6159,4785,3196,3684,6777,4669,6946,4673,2769,4228,6955,4727,4343,3566,5857,,5401,3093,3844,9267,,7861,5256,4912,5600,,5280,4713,4477,5725,5687,,2365,6135,4668,5184,4709,,5470,7256,,5927,5207,6698,4257,4429,4653,4569,5579,3738,4437,5182,8090,9251,4067,4288,6858,4291,4745,,,8627,11139,3773,3975,,10362,6934,9162,,,,,,,,3979,9543,,,,,,6957,,4611,4611,4611,8902,11359,,,,9733,,6779,,5021,12184,,,,,,,,,,1457,1457,1457,1457
