cargo,port_dk,2015,2016
Liquid_gas,Avedøreværkets,0,0
Liquid_gas,Københavns,0,0
Liquid_gas,Helsingør,0,0
Liquid_gas,Stålvalseværkets,0,0
Liquid_gas,Køge,0,0
Liquid_gas,Asnæsværkets,0,0
Liquid_gas,Asnæs_Inter_Terminals,0,0
Liquid_gas,Gulfhavnen_Inter_Terminals,0,0
Liquid_gas,Kalundborg,0,0
Liquid_gas,Korsør,0,0
Liquid_gas,Sjællands-Odde,0,0
Liquid_gas,Statoil-Havnen,60,40
Liquid_gas,Stigsnæsværkets,0,0
Liquid_gas,Stigsnæs_Inter_Terminals,0,0
Liquid_gas,Gedser,0,0
Liquid_gas,Rødby_Færgehavn,0,0
Liquid_gas,Rønne,0,0
Liquid_gas,Nyborg,0,0
Liquid_gas,Odense,0,0
Liquid_gas,Aabenraa,0,0
Liquid_gas,Ensted_Inter_Terminals,0,0
Liquid_gas,Enstedværkets,0,0
Liquid_gas,Esbjerg,21,20
Liquid_gas,Fredericia,97,103
Liquid_gas,Kolding,0,0
Liquid_gas,Vejle,0,0
Liquid_gas,Thyborøn,0,0
Liquid_gas,Ebeltoft,0,0
Liquid_gas,Grenaa,0,0
Liquid_gas,Randers,0,0
Liquid_gas,Studstrupværkets,0,0
Liquid_gas,Aarhus,0,0
Liquid_gas,Aalborg,0,0
Liquid_gas,Aalborg_Portland,0,0
Liquid_gas,Frederikshavn,0,0
Liquid_gas,Hirtshals,0,0
Liquid_gas,Nordjyllandsværkets,0,0
Crude_oil,Avedøreværkets,5,0
Crude_oil,Københavns,0,0
Crude_oil,Helsingør,0,0
Crude_oil,Stålvalseværkets,0,0
Crude_oil,Køge,0,0
Crude_oil,Asnæsværkets,0,0
Crude_oil,Asnæs_Inter_Terminals,0,0
Crude_oil,Gulfhavnen_Inter_Terminals,0,0
Crude_oil,Kalundborg,18,15
Crude_oil,Korsør,0,0
Crude_oil,Sjællands-Odde,0,0
Crude_oil,Statoil-Havnen,4530,3993
Crude_oil,Stigsnæsværkets,0,0
Crude_oil,Stigsnæs_Inter_Terminals,0,0
Crude_oil,Gedser,0,0
Crude_oil,Rødby_Færgehavn,0,0
Crude_oil,Rønne,0,0
Crude_oil,Nyborg,0,0
Crude_oil,Odense,0,0
Crude_oil,Aabenraa,0,0
Crude_oil,Ensted_Inter_Terminals,0,0
Crude_oil,Enstedværkets,0,0
Crude_oil,Esbjerg,0,0
Crude_oil,Fredericia,3748,3034
Crude_oil,Kolding,0,0
Crude_oil,Vejle,0,0
Crude_oil,Thyborøn,31,28
Crude_oil,Ebeltoft,0,0
Crude_oil,Grenaa,0,0
Crude_oil,Randers,0,0
Crude_oil,Studstrupværkets,3,0
Crude_oil,Aarhus,0,0
Crude_oil,Aalborg,0,0
Crude_oil,Aalborg_Portland,0,0
Crude_oil,Frederikshavn,0,0
Crude_oil,Hirtshals,0,0
Crude_oil,Nordjyllandsværkets,0,0
Mineral_oil_products,Avedøreværkets,0,7
Mineral_oil_products,Københavns,2925,3338
Mineral_oil_products,Helsingør,0,0
Mineral_oil_products,Stålvalseværkets,0,0
Mineral_oil_products,Køge,37,45
Mineral_oil_products,Asnæsværkets,1590,1084
Mineral_oil_products,Asnæs_Inter_Terminals,304,757
Mineral_oil_products,Gulfhavnen_Inter_Terminals,1195,706
Mineral_oil_products,Kalundborg,75,47
Mineral_oil_products,Korsør,0,0
Mineral_oil_products,Sjællands-Odde,0,0
Mineral_oil_products,Statoil-Havnen,4124,4018
Mineral_oil_products,Stigsnæsværkets,0,0
Mineral_oil_products,Stigsnæs_Inter_Terminals,4151,3843
Mineral_oil_products,Gedser,0,0
Mineral_oil_products,Rødby_Færgehavn,0,0
Mineral_oil_products,Rønne,60,67
Mineral_oil_products,Nyborg,0,0
Mineral_oil_products,Odense,2,5
Mineral_oil_products,Aabenraa,364,135
Mineral_oil_products,Ensted_Inter_Terminals,1182,883
Mineral_oil_products,Enstedværkets,0,0
Mineral_oil_products,Esbjerg,220,197
Mineral_oil_products,Fredericia,2426,2407
Mineral_oil_products,Kolding,0,0
Mineral_oil_products,Vejle,0,0
Mineral_oil_products,Thyborøn,0,0
Mineral_oil_products,Ebeltoft,0,0
Mineral_oil_products,Grenaa,0,0
Mineral_oil_products,Randers,0,0
Mineral_oil_products,Studstrupværkets,0,6
Mineral_oil_products,Aarhus,1029,996
Mineral_oil_products,Aalborg,1451,827
Mineral_oil_products,Aalborg_Portland,0,0
Mineral_oil_products,Frederikshavn,0,0
Mineral_oil_products,Hirtshals,0,0
Mineral_oil_products,Nordjyllandsværkets,0,0
Liquid_chemicals,Avedøreværkets,0,0
Liquid_chemicals,Københavns,56,116
Liquid_chemicals,Helsingør,0,0
Liquid_chemicals,Stålvalseværkets,0,0
Liquid_chemicals,Køge,1,0
Liquid_chemicals,Asnæsværkets,0,0
Liquid_chemicals,Asnæs_Inter_Terminals,0,0
Liquid_chemicals,Gulfhavnen_Inter_Terminals,0,0
Liquid_chemicals,Kalundborg,69,75
Liquid_chemicals,Korsør,0,0
Liquid_chemicals,Sjællands-Odde,0,0
Liquid_chemicals,Statoil-Havnen,21,8
Liquid_chemicals,Stigsnæsværkets,0,0
Liquid_chemicals,Stigsnæs_Inter_Terminals,0,0
Liquid_chemicals,Gedser,0,0
Liquid_chemicals,Rødby_Færgehavn,0,0
Liquid_chemicals,Rønne,0,0
Liquid_chemicals,Nyborg,0,0
Liquid_chemicals,Odense,0,0
Liquid_chemicals,Aabenraa,1,2
Liquid_chemicals,Ensted_Inter_Terminals,0,0
Liquid_chemicals,Enstedværkets,0,0
Liquid_chemicals,Esbjerg,126,119
Liquid_chemicals,Fredericia,100,115
Liquid_chemicals,Kolding,0,0
Liquid_chemicals,Vejle,0,0
Liquid_chemicals,Thyborøn,15,9
Liquid_chemicals,Ebeltoft,0,0
Liquid_chemicals,Grenaa,23,33
Liquid_chemicals,Randers,0,0
Liquid_chemicals,Studstrupværkets,0,0
Liquid_chemicals,Aarhus,37,31
Liquid_chemicals,Aalborg,23,62
Liquid_chemicals,Aalborg_Portland,0,0
Liquid_chemicals,Frederikshavn,0,0
Liquid_chemicals,Hirtshals,0,0
Liquid_chemicals,Nordjyllandsværkets,0,0
Other_liquid_bulk,Avedøreværkets,0,0
Other_liquid_bulk,Københavns,0,20
Other_liquid_bulk,Helsingør,0,0
Other_liquid_bulk,Stålvalseværkets,0,0
Other_liquid_bulk,Køge,8,13
Other_liquid_bulk,Asnæsværkets,0,0
Other_liquid_bulk,Asnæs_Inter_Terminals,0,0
Other_liquid_bulk,Gulfhavnen_Inter_Terminals,95,262
Other_liquid_bulk,Kalundborg,0,0
Other_liquid_bulk,Korsør,0,0
Other_liquid_bulk,Sjællands-Odde,0,0
Other_liquid_bulk,Statoil-Havnen,0,0
Other_liquid_bulk,Stigsnæsværkets,0,0
Other_liquid_bulk,Stigsnæs_Inter_Terminals,0,0
Other_liquid_bulk,Gedser,0,0
Other_liquid_bulk,Rødby_Færgehavn,0,0
Other_liquid_bulk,Rønne,1,0
Other_liquid_bulk,Nyborg,0,0
Other_liquid_bulk,Odense,19,19
Other_liquid_bulk,Aabenraa,35,30
Other_liquid_bulk,Ensted_Inter_Terminals,0,0
Other_liquid_bulk,Enstedværkets,0,0
Other_liquid_bulk,Esbjerg,236,278
Other_liquid_bulk,Fredericia,226,99
Other_liquid_bulk,Kolding,31,35
Other_liquid_bulk,Vejle,0,0
Other_liquid_bulk,Thyborøn,60,54
Other_liquid_bulk,Ebeltoft,0,0
Other_liquid_bulk,Grenaa,56,53
Other_liquid_bulk,Randers,0,0
Other_liquid_bulk,Studstrupværkets,0,0
Other_liquid_bulk,Aarhus,420,762
Other_liquid_bulk,Aalborg,15,19
Other_liquid_bulk,Aalborg_Portland,0,0
Other_liquid_bulk,Frederikshavn,0,0
Other_liquid_bulk,Hirtshals,0,0
Other_liquid_bulk,Nordjyllandsværkets,0,0
Ores_and_metal_waste,Avedøreværkets,0,0
Ores_and_metal_waste,Københavns,17,36
Ores_and_metal_waste,Helsingør,0,0
Ores_and_metal_waste,Stålvalseværkets,52,64
Ores_and_metal_waste,Køge,154,148
Ores_and_metal_waste,Asnæsværkets,0,0
Ores_and_metal_waste,Asnæs_Inter_Terminals,0,0
Ores_and_metal_waste,Gulfhavnen_Inter_Terminals,0,0
Ores_and_metal_waste,Kalundborg,0,0
Ores_and_metal_waste,Korsør,0,0
Ores_and_metal_waste,Sjællands-Odde,0,0
Ores_and_metal_waste,Statoil-Havnen,0,0
Ores_and_metal_waste,Stigsnæsværkets,0,0
Ores_and_metal_waste,Stigsnæs_Inter_Terminals,0,0
Ores_and_metal_waste,Gedser,0,0
Ores_and_metal_waste,Rødby_Færgehavn,0,0
Ores_and_metal_waste,Rønne,7,7
Ores_and_metal_waste,Nyborg,0,0
Ores_and_metal_waste,Odense,538,496
Ores_and_metal_waste,Aabenraa,0,0
Ores_and_metal_waste,Ensted_Inter_Terminals,0,0
Ores_and_metal_waste,Enstedværkets,0,33
Ores_and_metal_waste,Esbjerg,24,29
Ores_and_metal_waste,Fredericia,0,3
Ores_and_metal_waste,Kolding,0,0
Ores_and_metal_waste,Vejle,0,0
Ores_and_metal_waste,Thyborøn,0,0
Ores_and_metal_waste,Ebeltoft,0,0
Ores_and_metal_waste,Grenaa,229,350
Ores_and_metal_waste,Randers,0,0
Ores_and_metal_waste,Studstrupværkets,0,0
Ores_and_metal_waste,Aarhus,22,24
Ores_and_metal_waste,Aalborg,67,74
Ores_and_metal_waste,Aalborg_Portland,252,275
Ores_and_metal_waste,Frederikshavn,0,0
Ores_and_metal_waste,Hirtshals,0,0
Ores_and_metal_waste,Nordjyllandsværkets,0,0
Coal,Avedøreværkets,284,103
Coal,Københavns,251,387
Coal,Helsingør,0,0
Coal,Stålvalseværkets,0,0
Coal,Køge,14,9
Coal,Asnæsværkets,294,412
Coal,Asnæs_Inter_Terminals,0,0
Coal,Gulfhavnen_Inter_Terminals,0,0
Coal,Kalundborg,0,0
Coal,Korsør,0,0
Coal,Sjællands-Odde,0,0
Coal,Statoil-Havnen,0,0
Coal,Stigsnæsværkets,1003,904
Coal,Stigsnæs_Inter_Terminals,0,0
Coal,Gedser,0,0
Coal,Rødby_Færgehavn,0,0
Coal,Rønne,0,0
Coal,Nyborg,0,0
Coal,Odense,500,317
Coal,Aabenraa,0,0
Coal,Ensted_Inter_Terminals,0,0
Coal,Enstedværkets,1385,1155
Coal,Esbjerg,376,525
Coal,Fredericia,0,0
Coal,Kolding,0,0
Coal,Vejle,0,0
Coal,Thyborøn,0,0
Coal,Ebeltoft,0,0
Coal,Grenaa,0,0
Coal,Randers,4,2
Coal,Studstrupværkets,619,563
Coal,Aarhus,71,70
Coal,Aalborg,13,533
Coal,Aalborg_Portland,243,311
Coal,Frederikshavn,0,0
Coal,Hirtshals,0,0
Coal,Nordjyllandsværkets,0,0
Agricultural_products,Avedøreværkets,0,0
Agricultural_products,Københavns,0,0
Agricultural_products,Helsingør,0,0
Agricultural_products,Stålvalseværkets,0,0
Agricultural_products,Køge,120,126
Agricultural_products,Asnæsværkets,0,0
Agricultural_products,Asnæs_Inter_Terminals,0,0
Agricultural_products,Gulfhavnen_Inter_Terminals,0,0
Agricultural_products,Kalundborg,596,514
